Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,Cibil_Score,split
LN100000,Male,Yes,0,Not Graduate,No,7626,0.0,106.0,360.0,Urban,N,540.0,train
LN100001,Male,Yes,3+,Graduate,No,4523,0.0,104.0,360.0,Urban,Y,783.0,train
LN100002,Male,Yes,2,Not Graduate,No,3783,1556.0,140.0,360.0,Rural,N,694.0,train
LN100003,Male,No,0,Graduate,No,1760,1893.0,129.0,360.0,Semiurban,Y,730.0,train
LN100004,Male,Yes,2,Graduate,No,4818,1927.0,160.0,360.0,Rural,N,734.0,train
LN100005,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,Urban,Y,737.0,train
LN100006,Male,Yes,0,Not Graduate,No,8355,0.0,95.0,360.0,Urban,N,632.0,train
LN100007,Male,Yes,0,Graduate,No,6125,0.0,126.0,360.0,Urban,Y,872.0,train
LN100008,Male,Yes,1,Not Graduate,No,3832,4828.0,156.0,360.0,Rural,N,767.0,train
LN100009,Male,Yes,0,Graduate,No,3448,1590.0,130.0,360.0,Semiurban,Y,788.0,train
LN100010,Male,Yes,0,Graduate,No,2413,2114.0,95.0,360.0,Rural,Y,649.0,train
LN100011,Male,Yes,1,Graduate,No,6065,2004.0,250.0,360.0,Semiurban,Y,832.0,train
LN100012,Female,Yes,1,Graduate,Yes,18504,0.0,660.0,360.0,Semiurban,Y,900.0,train
LN100013,Male,Yes,2,Not Graduate,No,4090,1040.0,105.0,360.0,Urban,Y,703.0,train
LN100014,Male,Yes,1,Graduate,No,3314,0.0,85.0,360.0,Semiurban,Y,677.0,train
LN100015,Male,Yes,0,Graduate,No,6005,2315.0,176.0,360.0,Rural,N,762.0,train
LN100016,Male,Yes,0,Graduate,No,3015,2188.0,153.0,360.0,Rural,Y,737.0,train
LN100017,Male,Yes,0,Graduate,No,6237,2430.0,199.0,360.0,Rural,N,585.0,train
LN100018,Male,Yes,0,Graduate,No,2575,1960.0,110.0,360.0,Rural,Y,746.0,train
LN100019,Female,No,0,Graduate,No,2537,0.0,50.0,360.0,Rural,N,810.0,train
LN100020,Male,Yes,1,Graduate,No,1990,1921.0,114.0,360.0,Rural,Y,814.0,train
LN100021,Male,Yes,2,Graduate,No,14610,0.0,312.0,360.0,Urban,Y,890.0,train
LN100022,Male,Yes,1,Not Graduate,No,7049,0.0,151.0,180.0,Urban,Y,719.0,train
LN100023,Female,No,0,Graduate,No,2886,0.0,91.0,360.0,Semiurban,Y,681.0,train
LN100024,Male,No,0,Graduate,No,5142,0.0,137.0,360.0,Urban,Y,757.0,train
LN100025,Male,Yes,0,Graduate,No,3448,3910.0,50.0,180.0,Semiurban,Y,601.0,train
LN100026,Male,Yes,0,Graduate,No,23477,5973.0,528.0,360.0,Urban,Y,722.0,train
LN100027,Female,Yes,0,Not Graduate,Yes,6382,0.0,125.0,360.0,Rural,Y,801.0,train
LN100028,Male,Yes,2,Graduate,Yes,4051,1939.0,161.0,360.0,Semiurban,Y,791.0,train
LN100029,Male,Yes,0,Graduate,No,2437,1559.0,113.0,360.0,Urban,Y,900.0,train
LN100030,Male,Yes,0,Not Graduate,No,2623,2017.0,124.0,360.0,Urban,Y,830.0,train
LN100031,Male,Yes,2,Graduate,Yes,10340,6811.0,346.0,300.0,Rural,Y,856.0,train
LN100032,Male,No,0,Graduate,No,6057,3293.0,338.0,360.0,Rural,N,839.0,train
LN100033,Male,Yes,0,Graduate,No,10259,0.0,198.0,360.0,Semiurban,Y,873.0,train
LN100034,Male,Yes,0,Graduate,No,15049,0.0,123.0,360.0,Urban,Y,637.0,train
LN100035,Male,No,0,Graduate,Yes,5930,0.0,160.0,180.0,Semiurban,Y,789.0,train
LN100036,Female,No,0,Graduate,No,3410,0.0,88.0,360.0,Urban,Y,795.0,train
LN100037,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,Urban,Y,718.0,train
LN100038,Male,Yes,2,Not Graduate,No,3635,216.0,99.0,360.0,Semiurban,Y,681.0,train
LN100039,Male,Yes,0,Graduate,No,2665,2641.0,138.0,360.0,Semiurban,Y,803.0,train
LN100040,Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,Urban,N,593.0,train
LN100041,Male,Yes,2,Graduate,No,10906,0.0,116.0,360.0,Urban,Y,900.0,train
LN100042,Male,Yes,0,Graduate,No,2471,2120.0,134.0,360.0,Semiurban,Y,900.0,train
LN100043,Male,No,0,Graduate,No,3686,0.0,98.0,480.0,Urban,N,660.0,train
LN100044,Male,No,0,Graduate,No,14999,0.0,242.0,360.0,Semiurban,N,684.0,train
LN100045,Male,Yes,1,Graduate,No,5146,6162.0,291.0,360.0,Urban,Y,823.0,train
LN100046,Male,Yes,0,Graduate,No,5082,0.0,271.0,360.0,Urban,N,633.0,train
LN100047,Male,Yes,0,Graduate,Yes,3918,0.0,27.0,120.0,Semiurban,Y,689.0,train
LN100048,Male,Yes,1,Graduate,Yes,11041,0.0,165.0,360.0,Rural,N,532.0,train
LN100049,Male,Yes,2,Graduate,Yes,5415,0.0,211.0,240.0,Semiurban,N,883.0,train
LN100050,Male,No,0,Graduate,Yes,9863,0.0,197.0,360.0,Urban,N,616.0,train
LN100051,Male,No,0,Not Graduate,No,3175,2543.0,111.0,360.0,Rural,Y,792.0,train
LN100052,Female,No,0,Graduate,No,5000,0.0,103.0,360.0,Semiurban,N,499.0,train
LN100053,Male,Yes,0,Graduate,No,2408,3619.0,122.0,360.0,Rural,Y,668.0,train
LN100054,Male,Yes,2,Not Graduate,No,4834,3219.0,114.0,180.0,Urban,Y,664.0,train
LN100055,Male,Yes,1,Graduate,No,2060,0.0,68.0,360.0,Rural,N,666.0,train
LN100056,Male,Yes,1,Not Graduate,No,3288,1155.0,138.0,360.0,Urban,Y,657.0,train
LN100057,Male,Yes,0,Graduate,No,3211,3894.0,61.0,180.0,Semiurban,Y,798.0,train
LN100058,Male,No,1,Not Graduate,No,3085,0.0,115.0,240.0,Urban,Y,761.0,train
LN100059,Male,Yes,1,Not Graduate,No,2811,8011.0,248.0,180.0,Semiurban,Y,742.0,train
LN100060,Male,Yes,1,Graduate,No,10965,0.0,163.0,360.0,Urban,Y,798.0,train
LN100061,Male,Yes,0,Graduate,No,2786,2336.0,131.0,360.0,Semiurban,Y,817.0,train
LN100062,Male,No,0,Graduate,No,2699,1672.0,129.0,360.0,Rural,Y,769.0,train
LN100063,Male,Yes,0,Graduate,No,2969,2122.0,124.0,360.0,Rural,Y,748.0,train
LN100064,Female,Yes,0,Graduate,No,2419,3293.0,122.0,360.0,Urban,N,485.0,train
LN100065,Male,Yes,0,Graduate,No,2039,1770.0,96.0,360.0,Urban,Y,604.0,train
LN100066,Male,Yes,3+,Graduate,No,4222,213.0,107.0,360.0,Semiurban,Y,833.0,train
LN100067,Male,Yes,2,Graduate,No,5185,0.0,155.0,360.0,Semiurban,Y,765.0,train
LN100068,Male,Yes,0,Graduate,No,3761,0.0,101.0,360.0,Urban,Y,772.0,train
LN100069,Male,Yes,3+,Not Graduate,No,3293,0.0,74.0,180.0,Rural,N,615.0,train
LN100070,Female,Yes,0,Graduate,No,4409,0.0,106.0,360.0,Rural,N,649.0,train
LN100071,Male,No,0,Graduate,No,2956,2118.0,122.0,360.0,Rural,Y,756.0,train
LN100072,Male,No,0,Graduate,No,2343,0.0,63.0,360.0,Urban,Y,687.0,train
LN100073,Male,Yes,0,Graduate,No,18617,0.0,132.0,360.0,Rural,N,824.0,train
LN100074,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,Urban,Y,786.0,train
LN100075,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,360.0,Rural,N,481.0,train
LN100076,Male,Yes,1,Graduate,No,6444,1800.0,274.0,360.0,Semiurban,Y,900.0,train
LN100077,Male,No,2,Graduate,No,3588,0.0,110.0,360.0,Rural,N,488.0,train
LN100078,Male,Yes,0,Not Graduate,No,5251,0.0,155.0,360.0,Urban,N,873.0,train
LN100079,Female,No,0,Graduate,No,3614,0.0,75.0,360.0,Urban,N,663.0,train
LN100080,Male,Yes,0,Graduate,No,5488,0.0,125.0,360.0,Rural,Y,750.0,train
LN100081,Male,Yes,0,Not Graduate,No,2684,1879.0,86.0,480.0,Urban,N,610.0,train
